NewsType,Headline
খেলাধুলা ,‘ফকির’ থেকে আমির!
খেলাধুলা ,‘ফর্মে থাকলে স্টার্ক সবচেয়ে ভয়ংকর’
খেলাধুলা ,‘ফিফার মতো হও’ আইসিসিকে হোল্ডিং
অর্থনীতি ,‘ফির একবার’ সাফল্যে চাঙা পুঁজিবাজার
বাংলাদেশ ,‘বড় ভাইদের’ না জানানো নিয়ে ঢাকা মেডিকেলের ছাত্রাবাসে সংঘর্ষ
খেলাধুলা ,‘বড় মাঠের ৬ ছোট মাঠে ১২ হবে না’
খেলাধুলা ,‘বড় ম্যাচ’ ট্যাগটা হাস্যকর বানিয়ে দিল ভারত
শিক্ষা ,‘বনভোজন’ রচনা নয়!
বাংলাদেশ ,‘বন্দুকযুদ্ধে’ ১২ মামলার আসামি ইউপি সদস্য নিহত
বাংলাদেশ ,‘বন্দুকযুদ্ধের’ সময় ‘পানিতে ডুবে’ মৃত্যু
বাংলাদেশ ,‘বন্ধন’এর ফুল-প্রকৃতির প্রদর্শনী
মতামত ,‘বাঁচিবার একটা উপায় কহ বাহে’
খেলাধুলা ,‘বাংলাদেশের জার্সিতে খেলতে পারলে ভালা লাগবে’
শিক্ষা ,‘বাংলাদেশের রাজনৈতিক অর্থনীতি: অধ্যাপক নুরুল ইসলাম পাঠ’–এর নিবন্ধন শুরু
জীবন যাপন,‘বাবার স্বপ্নই মোসাদ্দেকের বড় অনুপ্রেরণা’
অর্থনীতি ,‘বার্জার আলপনায় বৈশাখ ১৪২৬’
বিনোদন ,‘বিগ বস’–এর প্রতিযোগীদের নাম ফাঁস
বিজ্ঞান ও প্রযুক্তি,‘বিগ ব্যাং থেকে মহাবিশ্ব’ শীর্ষক পাবলিক লেকচার আয়োজিত
বিজ্ঞান ও প্রযুক্তি,‘বিছানাবন্দী’ জীবন থেকে সফল ফ্রিল্যান্সার
বিনোদন ,‘বিদায় মা’
বিনোদন ,‘বিনিসুতোয়’ আটপৌরে বাঙালি জয়া আহসান
মতামত ,‘বিপজ্জনক’ ছুটিতে শিশুরা ঝুঁকিতে
বিনোদন ,‘বিশ্বসুন্দরী’র যাত্রা শুরু
জীবন যাপন,‘বেঁচে থাকলে সাইফের বাবাই বেশি খুশি হতেন’
মতামত ,‘ব্যবহারযোগ্য নয়’ সাইনবোর্ড টাঙিয়ে দিন
খেলাধুলা ,‘ব্রাজিলকে শিরোপা জেতাতেই এ দুর্নীতি’—মেসির বিস্ফোরণ
খেলাধুলা ,‘ব্রাজিলের জার্সির পাঁচ তারকা এমনিতে আসেনি’
বিনোদন ,‘ব্ল্যাক মিরর’: পর্বে পর্বে রোমাঞ্চ
বাংলাদেশ ,‘ভাতিজার আঘাতে’ অপর চাচাও মারা গেলেন
বিনোদন ,‘ভানুমতির খেল’ বন্ধ হচ্ছে শিগগিরই
খেলাধুলা ,‘ভারত-পাকিস্তান ম্যাচ ফাইনালের আগে ফাইনাল’
খেলাধুলা ,‘ভারতের কাছে হারলেই আমাদের বিশ্বকাপ শেষ!’
খেলাধুলা ,‘ভালো আচরণ’ না করার খেসারত দিলেন নেইমার
খেলাধুলা ,‘ভিএআর’ দীর্ঘজীবী হোক!
অর্থনীতি ,‘ভিত্তিহীন ও বেআইনি অডিট’ প্রত্যাহারে বিটিআরসিকে অনুরোধ গ্রামীণফোনের
বিনোদন ,‘ভুলভুলাইয়া’র দ্বিতীয় কিস্তি
বিনোদন ,‘ভ্যাম্পায়ার অ্যাডওয়ার্ড’ এবার ‘ব্যাটম্যান’
বাংলাদেশ ,"‘মনে হচ্ছিল, এই বুঝি মৃত্যু এল’"
বিনোদন ,‘মনে হচ্ছে মৃত্যুর মুখ থেকে ফিরে এসেছি’
মতামত ,‘মন্দের ভালো’ চেতনায় অবৈধ ইটভাটার জোগান
বাংলাদেশ ,‘মশা নিয়ন্ত্রণে কি ওষুধ ব্যবহার করেন? কাজ হয় না?’
বিজ্ঞান ও প্রযুক্তি,‘মাইক্রোসফট এক্সএল’ ফাইল যখন ফাঁদ
মতামত ,‘মাছের মতো মানুষ বেচা’
বিনোদন ,‘মাঝরাতে’ নিয়ে ফিরলেন মিঠু
খেলাধুলা ,‘মাশরাফি না থাকলেও আমাদের এগিয়ে যেতে হবে’
খেলাধুলা ,‘মাশরাফি পারফরম্যান্স দিয়েই ফিরবে’
খেলাধুলা ,‘মিরাজ ঠিক আছে’
বিনোদন ,‘মুককালা মুকাবেলা’ গানের রিমেক
জীবন যাপন,‘মুক্তিযোদ্ধা বাবার আদর্শ সন্তান হোক রাহী’
বিনোদন ,‘মেন্টাল’ এখন ‘জাজমেন্টাল’
খেলাধুলা ,"‘মেসি যে লাল কার্ড পেল, তার অপরাধটা কী?’"
খেলাধুলা ,‘মৌচাকে’ ঢিল মারার খেসারত দিল মুক্তিযোদ্ধা সংসদ
বিনোদন ,"‘যত দিন দর্শক দেখবে, তত দিন এই সব বানাব’"
বাংলাদেশ ,‘যদি একটু পানি খেয়ে মরতে পারতাম’
বাংলাদেশ ,"‘যাঁরা ঐক্যের বাইরে কথা বলবেন, তাঁরা দেশের ক্ষতি করবেন’"
বিনোদন ,‘যাদুর শহর’ শেষে ‘মানুষের বাগান’
অর্থনীতি ,"‘যাদের টাকা যত বেশি, তাঁদের ট্যাক্স তত কম’"
অর্থনীতি ,‘রাজহাঁস যেন ব্যথা না পায়’
অর্থনীতি ,‘রাজহাঁসের ব্যথা’ কি কমবে
বাংলাদেশ ,‘রিকশা চালাইতেও ঘুষ দেওন লাগে’
বিনোদন ,‘রূপচাঁদা সুপার শেফের’ সম্প্রচার আজ শুরু
বিনোদন ,‘রেনুলতা’ ও ‘রং লেগেছে’ শুক্রবার মঞ্চে আসছে
খেলাধুলা ,‘লাকি জার্সি’তেই ভরসা শ্রীলঙ্কার
মতামত ,‘লিখতে পারি না’ বলার স্বাধীনতা
বিনোদন ,‘শনিবার বিকেল’ দেখে থমকে যায় সিডনির দর্শক
বিনোদন ,‘শনিবার বিকেল’ নিয়ে সিডনি আসছেন ফারুকী ও তিশা
শিক্ষা ,‘শিক্ষক ও শিক্ষার্থীরাই আমাদের গর্ব’
বিনোদন ,‘সংসার নিয়ে এখন ভাবছি না’
বিজ্ঞান ও প্রযুক্তি,‘সচেতনতার অভাবে বাংলাদেশের অধিকাংশ ফেসবুক আইডি নিরাপদ নয়’
অর্থনীতি ,‘সঞ্চয়পত্রের সুদহারে হাত দেব না’
খেলাধুলা ,‘সফট সিগন্যালের’ বলি হলেন লিটন?
বিনোদন ,‘সবাই সার্থক নাট্যকার হতে পারেন না’
বিনোদন ,‘সমন্বিতভাবে সংকট কাটাতে চেষ্টা করব’
খেলাধুলা ,‘সরফরাজের সঙ্গে নিষ্ঠুর আচরণ করা হয়েছে’
বিনোদন ,‘সা রে গা মা পা’ নিয়ে বলতে চান না নোবেল
খেলাধুলা ,‘সাকিব একজন কিংবদন্তি’
খেলাধুলা ,‘সাকিবের কাছে বড় বাংলাদেশের জয়’
অর্থনীতি ,‘সানসিল্ক ডিভাস’ খুঁজে পেল প্রথম অল-গার্ল প্রফেশনাল ব্যান্ড
খেলাধুলা ,‘সাফল্য’ শেষ করে দিয়েছে কেনিয়ার ক্রিকেটকে!
বিনোদন ,‘সালমান ও আমির ছাড়া সম্ভব নয়’
বাংলাদেশ ,‘সাহেব’ শব্দে বিএনপির সাংসদ হারুনের আপত্তি
শিক্ষা ,‘সি’ ইউনিটের ৪৪৮ আসনে পরীক্ষার্থী ১৪৩১০
বিনোদন ,‘সিকান্দার আবু জাফর ছিলেন বহুমুখী মননের মানুষ’
বিনোদন ,"‘সুপার থার্টি’তে হৃতিক পারলেন, নাকি হারলেন?"
জীবন যাপন,‘সেতু’ আর ‘লাইভ’ নিয়ে আছেন যে ব্যারিস্টার
খেলাধুলা ,‘সেমিফাইনাল অসম্ভব নয়’
খেলাধুলা ,‘স্কার্ট পরা পেলে’ ছাড়িয়ে গেলেন পেলেকেও
বিনোদন ,‘স্ট্রেঞ্জার থিংস’–এ বন্ধুত্বের পরীক্ষা
বিনোদন ,‘স্তালিন’ নাটকে ইতিহাস বিকৃতির অভিযোগ
শিক্ষা ,‘হাসিখুশি মেয়েদের’ স্বপ্ন
খেলাধুলা ,"‘হাস্তা লা ভিস্তা ধোনি’, তোপের মুখে আইসিসি"
বিনোদন ,‘হেলেন কেলার’-এর রজতজয়ন্তী কাল
মতামত ,"‘হোয়, কালকে ঈদ!’"
খেলাধুলা ,’৯২ বিশ্বকাপের ‘ভূত’ ঘুরছে পাকিস্তানের সঙ্গে
শিক্ষা ,১ আসনে লড়বেন ৪৫ জন
শিক্ষা ,১ এপ্রিল থেকে ৬ মে পর্যন্ত কোচিং বন্ধ
বিজ্ঞান ও প্রযুক্তি,১ কোটি ফোরজি গ্রাহক গ্রামীণফোনের
অর্থনীতি ,১ জুলাই থেকে সঞ্চয়পত্রের সুদ ও আসল ব্যাংকে যাবে
খেলাধুলা ,"১, ১, ১ এবং সেমিতে এ কোন কোহলি!"
বিজ্ঞান ও প্রযুক্তি,১০ ‘আইসিটি মেধাবী’ শিক্ষার্থীর নাম ঘোষণা করল হুয়াওয়ে
বিজ্ঞান ও প্রযুক্তি,১০ কোটি ইউনিট স্মার্টফোন বাজারে এনেছে হুয়াওয়ে
বিজ্ঞান ও প্রযুক্তি,১০ জোনে প্রদর্শনী
বাংলাদেশ ,১০ টাকায় চক্ষু চিকিৎসাসেবা
বিজ্ঞান ও প্রযুক্তি,১০ বছরে প্রযুক্তি খাতে ২ লাখ কর্মসংস্থান তৈরি হবে
অর্থনীতি ,"১০ বছরের বাজেটের ধারাবাহিকতা, নতুন কিছু নেই"
শিক্ষা ,১০ বোর্ডে গড় পাসের হার ৬৮.৯১
চাকুরি,১০ হাজার তরুণকে প্রশিক্ষণ দেবে বিওয়াইএলসি
বিজ্ঞান ও প্রযুক্তি,১০০ কোটির মাইলফলকে এমএস ওয়ার্ড অ্যাপ
বিজ্ঞান ও প্রযুক্তি,১০০ কোটির মাইলফলকে টিকটক অ্যাপ
অর্থনীতি ,১০০ টাকা মূল্যমানের প্রাইজবন্ডের ড্র অনুষ্ঠিত
মতামত ,১০০ টাকায় কনস্টেবল নিয়োগ
অর্থনীতি ,১০০ টাকায় পুরস্কার ৬ লাখ
খেলাধুলা ,১০০ তোলার আগেই কিউইদের ৫ উইকেট নেই!
বাংলাদেশ ,১০৩ টাকায় সরকারি চাকরি
খেলাধুলা ,১১ বছর পর...
বিনোদন ,১১ মাস পর মঞ্চে তমালিকা
বাংলাদেশ ,১১ মাস মর্গে থেকে দেশ ফিরল ইমরানের লাশ
অর্থনীতি ,১২ বছরে মাথাপিছু আয় দ্বিগুণের বেশি হতে হবে
বিজ্ঞান ও প্রযুক্তি,১২ বছরে স্টার টেক
শিক্ষা ,"১২ হলে ভিপি ছাত্রলীগের, ছয়টিতে স্বতন্ত্র"
বিজ্ঞান ও প্রযুক্তি,১২ হাজার টাকার মধ্যে নতুন স্মার্টফোন
বাংলাদেশ ,১২৮৫ কেন্দ্রে ভোট পায়নি ধানের শীষ
অর্থনীতি ,১২তম এনডিএফ বিডি জাতীয় বিতর্ক উৎসব শুরু হচ্ছে
বিজ্ঞান ও প্রযুক্তি,১৪০ থেকে এখন ১৫০০ কর্মী
বাংলাদেশ ,১৫ বছরের শিক্ষকতা জীবনে এক টাকাও বেতন পাননি
বিজ্ঞান ও প্রযুক্তি,১৫ হাজার টাকার মধ্যে ৬ স্মার্টফোন
অর্থনীতি ,১৫২ যাত্রী নিয়ে দিল্লি গেল বিমান
জীবন যাপন,১৫তম শিক্ষক নিবন্ধনের প্রিলি ও লিখিত পরীক্ষার তারিখ ঘোষণা
চাকুরি,১৫তম শিক্ষক নিবন্ধনের প্রিলির ফল প্রকাশ
বিনোদন ,১৬ ঘণ্টায় ৫ লাখ লাইক!
শিক্ষা ,১৬ জুলাই থেকে রাজশাহী বিশ্ববিদ্যালয়ে দুদিন সাপ্তাহিক ছুটি
বাংলাদেশ ,১৬ মামলার আসামি ‘বন্দুকযুদ্ধে’ নিহত
চাকুরি,১৬তম শিক্ষক নিবন্ধনের আবেদন শুরু
বিজ্ঞান ও প্রযুক্তি,১৭ বছর পর...
খেলাধুলা ,১৭৬ কোটি মানুষকে হতাশ করে হারল ভারত
অর্থনীতি ,১৮ লাখ ভরি ‘কালো’ সোনা ‘সাদা’ হলো
বিজ্ঞান ও প্রযুক্তি,১৮ হাজার এমএএইচ ব্যাটারির স্মার্টফোন
চাকুরি,১৮১ জন প্রকৌশলী নেবে পিজিসিবি
চাকুরি,১৮৩ পদে লোক নেবে ডাক বিভাগ
বিনোদন ,১৯ বছর পর প্লেব্যাক করলেন রথীন্দ্রনাথ রায়
খেলাধুলা ,১৯ রান করলেই সর্বকালের সেরা দশে সাকিব
বিনোদন ,১৯৫৯ সালের একটি মামলা ও অঙ্গদ বেদি
বিজ্ঞান ও প্রযুক্তি,১৯৫টি ফেসবুক অ্যাকাউন্টের তথ্য চেয়েছে সরকার
বাংলাদেশ ,২ কোটি টাকার সোনাসহ ২ বিমান কর্মী আটক
বাংলাদেশ ,২ বছর ৪১ দিন পর চালু বড়পুকুরিয়া তাপবিদ্যুৎকেন্দ্রের ১ নং ইউনিট
খেলাধুলা ,২ রানের জন্য শীর্ষ মুকুটটা পেলেন না সাকিব
অর্থনীতি ,২ হাজার কোটি ডলার বিনিয়োগের আশা
বিজ্ঞান ও প্রযুক্তি,২০ কোটি মানুষের পোস্ট চায় মার্কিন নৌবাহিনী
বাংলাদেশ ,২০ জেলায় বন্যা ছড়িয়ে পড়তে পারে
বাংলাদেশ ,২০ থেকে ৩০ শতাংশ হাসপাতালে অগ্নিনির্বাপণ ব্যবস্থা নেই
খেলাধুলা ,২০ বছর পর এমন কিছু...
বিজ্ঞান ও প্রযুক্তি,২০ বছরে আনন্দ মাল্টিমিডিয়া স্কুল
বিজ্ঞান ও প্রযুক্তি,২০ হাজার টাকার মধ্যে ডেস্কটপ
মতামত ,২০০ উপজেলায় আবহাওয়া স্টেশন
শিক্ষা ,২০১৭ সালের এইচএসসি পরীক্ষার সময় বিভাজন
অর্থনীতি ,২০৩০ সালের মধ্যে ৩ কোটি মানুষের কর্মসংস্থান
বিজ্ঞান ও প্রযুক্তি,২০৩০ সালের মধ্যে বিশ্বের শীর্ষ পাঁচ ব্র্যান্ডের মধ্যে আসতে চাই
বাংলাদেশ ,২২ কেজি ওজনের বাগাড়
চাকুরি,২২ প্রোগ্রামার নেবে বাংলাদেশ ব্যাংক
খেলাধুলা ,২৩ বছর পর নতুন চ্যাম্পিয়ন পাচ্ছে ক্রিকেট
বাংলাদেশ ,"২৪ ঘণ্টা পরও ‘হোপ-হোপ, আড়িয়া-আড়িয়া, হাপেজ হাপেজ’"
অর্থনীতি ,২৪ হাজার উদ্যোক্তা তৈরি করবে বিডা
খেলাধুলা ,"২৫ হাজারে শুরু, এবার পাচ্ছেন ৫০ লাখ টাকা!"
জীবন যাপন,২৫০ জনকে নিয়োগ দেবে ডিজিকন
মতামত ,২৬ এপ্রিলের তাজউদ্দীন আহমদ ও সৈয়দা জোহরা তাজউদ্দীন
খেলাধুলা ,২৬০ কোটি দর্শক দেখেছে বিশ্বকাপ!
খেলাধুলা ,২৮ অক্টোবর হবে প্রথম এল ক্লাসিকো
বাংলাদেশ ,২৮ ঘণ্টা পর রাজশাহীর সঙ্গে রেল যোগাযোগ শুরু
বিনোদন ,২৮ মোরগের ‘দোস্ত দুশমন’
